Company,Brands,count
Mahou-San Miguel,Mahou,1
Mahou-San Miguel,San Miguel,2
Mahou-San Miguel,Alhambra,3
Mahou-San Miguel,Founders,4
Mahou-San Miguel,Avery,5
Mahou-San Miguel,Mezquita,6
Mahou-San Miguel,Reina,7
Mahou-San Miguel,La Salve,8
Mahou-San Miguel,La Prohibida,9
Mahou-San Miguel,international brands.,10
Damm,Estrella Damm,1
Damm,Voll-Damm,2
Damm,Damm Lemon,3
Damm,Complot,4
Damm,Inedit,5
Damm,Bock Damm,6
Damm,Free Damm,7
Damm,Daura,8
Damm,A.K. Damm,9
Damm,Xibeca,10
Damm,Estrella de Levante,11
Damm,Victoria,12
Damm,Oro,13
Damm,Keler,14
Damm,Turia,15
Damm,Calatrava,16
Damm,Rosa Blanca,17
Damm,Estrella del Sur,18
Damm,Skol,19
Damm,Tagus,20
Damm,Radeberger,21
Damm,Schofferhofer,22
Damm,Malquerida.,23
Hijos de Rivera,Estrella Galicia,1
Hijos de Rivera,Cervezas 1906,2
Hijos de Rivera,Fábrica de Cervezas,3
Hijos de Rivera,Maeloc,4
Hijos de Rivera,other liquors spirits.,5
Heineken España,Heineken,1
Heineken España,Cruzcampo,2
Heineken España,Amstel,3
Heineken España,El Águila,4
Heineken España,Birra Moretti,5
Heineken España,Desperados,6
Heineken España,Sol,7
Heineken España,Lagunitas,8
Heineken España,John Smith's,9
Heineken España,Foster's,10
Heineken España,Ladrón de Manzanas.,11